bookID,title,authors,average_rating,publication_date,language_code,primary_author
9325,Fullmetal Alchemist  Vol. 10,Hiromu Arakawa/Akira Watanabe,4.6,2006-11-21,eng,Hiromu Arakawa
26426,Fullmetal Alchemist  Vol. 12 (Fullmetal Alchemist  #12),Hiromu Arakawa/Akira Watanabe,4.6,2007-03-20,eng,Hiromu Arakawa
37976,The Listener's Bible: NIV,Anonymous/Max McLean,4.6,2001-01-01,eng,Anonymous
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,2012-09-25,eng,J.R.R. Tolkien
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,2002-06-12,eng,Gary Russell
3529,The World's First Love: Mary  Mother of God,Fulton J. Sheen,4.59,1996-09-01,en-US,Fulton J. Sheen
7271,Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity,Elliott A. Norse/Larry B. Crowder/Michael E. Soulé,4.59,2005-05-09,eng,Elliott A. Norse
15249,The Lord of the Rings: The Return of the King - Visual Companion,Jude Fisher,4.59,2003-11-06,eng,Jude Fisher
15336,The Lord of the Rings / The Hobbit,J.R.R. Tolkien,4.59,2002-10-07,eng,J.R.R. Tolkien
17279,The Feynman Lectures on Physics Vols 5-6,Richard P. Feynman,4.59,2004-11-03,en-US,Richard P. Feynman
23506,Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11),Hiromu Arakawa/Akira Watanabe,4.59,2007-01-16,eng,Hiromu Arakawa
23720,Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4),Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.59,2004-06-02,eng,Hayao Miyazaki
26422,Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14),Hiromu Arakawa/Akira Watanabe,4.59,2007-08-14,eng,Hiromu Arakawa
6152,Come Away My Beloved,Frances J. Roberts,4.58,2005-10-01,eng,Frances J. Roberts
6342,The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,Eva Brann,4.58,2004-03-01,eng,Eva Brann
7286,The Sawtooth Wolves,Jim Dutcher/Eric Baker/Greg Simpson/Richard Ballantine,4.58,1996-01-01,eng,Jim Dutcher
16602,Coffin: The Art of Vampire Hunter D,Yoshitaka Amano,4.58,2006-11-01,eng,Yoshitaka Amano
17961,Collected Fictions,Jorge Luis Borges/Andrew Hurley,4.58,1999-09-30,eng,Jorge Luis Borges
33342,The More Than Complete Hitchhiker's Guide (Hitchhiker's Guide  #1-4 + short story),Douglas Adams,4.58,1989-11-01,en-US,Douglas Adams
34229,Complete Guide to the Bible,Reader's Digest Association,4.58,1998-08-24,eng,Reader's Digest Association
41468,Dewdrops on a Lotus Leaf: Zen Poems of Ryokan,Ryōkan/John   Stevens,4.58,2004-04-13,eng,Ryōkan
44734,Fullmetal Alchemist  Vol. 6 (Fullmetal Alchemist  #6),Hiromu Arakawa/Akira Watanabe,4.58,2006-03-21,eng,Hiromu Arakawa
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,2006-09-16,eng,J.K. Rowling
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,2006-09-19,eng,Hiromu Arakawa
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,2006-07-18,eng,Hiromu Arakawa
2005,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,2006-06-23,eng,J.K. Rowling
18800,In Search of Lost Time  Vol. 2: Within a Budding Grove  Part 2 & The Guermantes' Way,Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin,4.57,2001-06-29,eng,Marcel Proust
26425,Fullmetal Alchemist: The Abducted Alchemist (Fullmetal Alchemist  #2),Makoto Inoue/Hiromu Arakawa/Alexander O. Smith/Rich Amtower,4.57,2006-01-10,eng,Makoto Inoue
32155,Cook's Illustrated 2005 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.57,2005-11-15,eng,Cook's Illustrated Magazine
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,2004-05-01,eng,J.K. Rowling
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,2005-09-13,eng,Hiromu Arakawa
4256,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,2008-07-01,eng,J.K. Rowling
9326,Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5),Hiromu Arakawa/Akira Watanabe,4.56,2006-01-10,eng,Hiromu Arakawa
13382,Vinyl Cafe Odd Jobs,Stuart McLean,4.56,2005-06-15,eng,Stuart McLean
18807,Dostoevsky: The Mantle of the Prophet  1871-1881,Joseph Frank,4.56,2003-09-02,eng,Joseph Frank
35652,The Beatles Diary  Vol 1: From Liverpool to London (Falk Symposium),Keith Badman/Keith Badman,4.56,2001-02-01,eng,Keith Badman
39906,Cocolat: Extraordinary Chocolate Desserts,Alice Medrich/Patricia Brabant,4.56,1990-10-01,eng,Alice Medrich
43509,Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.56,2000-07-08,eng,J.K. Rowling
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,2005-11-08,eng,Hiromu Arakawa
2151,The Complete Novels,Jane Austen/Hugh  Thomson,4.55,1995-09-03,eng,Jane Austen
2153,Jane Austen: The Complete Novels,Jane Austen,4.55,1994-06-01,eng,Jane Austen
13677,Tal-Botvinnik 1960,Mikhail Tal/Hanon W. Russell,4.55,2001-07-03,eng,Mikhail Tal
14905,The Complete Novels,Jane Austen,4.55,1996-06-17,eng,Jane Austen
15195,The Complete Maus,Art Spiegelman,4.55,2003-10-02,eng,Art Spiegelman
31672,The Complete Novels,Jane Austen/Karen Joy Fowler,4.55,2006-03-28,eng,Jane Austen
31692,The Complete Novels of Jane Austen,Jane Austen,4.55,2005-01-05,eng,Jane Austen
34343,Eva Hesse Drawing,Catherine de Zegher/Elisabeth Sussman,4.55,2006-12-28,eng,Catherine de Zegher
44030,Looking East,Steve McCurry,4.55,2006-09-01,eng,Steve McCurry
5417,Carrie / 'Salem's Lot / The Shining,Stephen King,4.54,2002-07-02,eng,Stephen King
22489,"African Origins of the Major ""Western Religions""",Yosef A.A. Ben-Jochannan,4.54,1991-12-01,eng,Yosef A.A. Ben-Jochannan
25101,Season of Mists (The Sandman  #4),Neil Gaiman/Matt Wagner/George Pratt/Dick Giordano/Kelley Jones/P. Craig Russell/Mike Dringenberg/Malcolm Jones III/Todd Klein/Harlan Ellison,4.54,1999-03-10,eng,Neil Gaiman
28087,Gabriel García Márquez: One Hundred Years of Solitude,Michael  Wood,4.54,1990-05-31,eng,Michael  Wood
30230,Anita Blake  Vampire Hunter Collection 1-4 (Anita Blake  Vampire Hunter  #1-4),Laurell K. Hamilton,4.54,2003-02-25,eng,Laurell K. Hamilton
32338,Fire in the Minds of Men: Origins of the Revolutionary Faith,James H. Billington,4.54,1980-01-01,eng,James H. Billington
40490,The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur Bennett,4.54,1975-11-01,eng,Arthur Bennett
42439,Harm's Way: Lust & Madness & Murder & Mayhem,Joel-Peter Witkin/Stanley B. Burns,4.54,1994-10-01,eng,Joel-Peter Witkin
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,2003-11-05,eng,Chris   Smith
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,1998-02-02,eng,Abraham Lincoln
3583,The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle/Leslie S. Klinger,4.53,2005-11-07,eng,Arthur Conan Doyle
14406,The Complete Lyrics of Cole Porter,Cole Porter/Robert Kimball/John Updike,4.53,1992-08-21,en-US,Cole Porter
14913,The Complete Novels of Jane Austen  Vol 1: Sense & Sensibility/Pride & Prejudice/Mansfield Park,Jane Austen,4.53,1992-09-05,eng,Jane Austen
15245,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,2003-11-06,eng,J.R.R. Tolkien
15298,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,2005-06-01,en-US,J.R.R. Tolkien
15373,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,2001-01-01,eng,J.R.R. Tolkien
28395,Remembrance of Things Past: Volume II - The Guermantes Way & Cities of the Plain,Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin,4.53,1982-08-27,en-US,Marcel Proust
28850,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien/Rob Inglis,4.53,2001-07-23,eng,J.R.R. Tolkien
31389,Life Management for Busy Woman: Growth and Study Guide,Elizabeth George,4.53,2002-07-01,en-GB,Elizabeth George
32165,Cook's Illustrated 1995 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.53,1995-12-01,eng,Cook's Illustrated Magazine
35419,The Making of Star Wars (Star Wars:  The Making of  #1),J.W. Rinzler/Peter  Jackson,4.53,2007-04-24,eng,J.W. Rinzler
35475,Black Man of the Nile and His Family,Yosef A.A. Ben-Jochannan,4.53,1996-11-22,eng,Yosef A.A. Ben-Jochannan
40951,A History of the Life Sciences,Lois N. Magner/Magner,4.53,2002-08-13,en-US,Lois N. Magner
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,2005-07-05,eng,Hiromu Arakawa
1729,Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,4.52,1985-01-01,eng,Ovid
13674,The Life and Games of Mikhail Tal,Mikhail Tal/Iakov Damsky/Kenneth P. Neat,4.52,1997-07-01,eng,Mikhail Tal
25104,The Wake (The Sandman  #10),Neil Gaiman/Michael Zulli/Jon J. Muth/Charles Vess/Mikal Gilmore,4.52,1999-09-03,eng,Neil Gaiman
26253,Ennead IV (Plotinus IV),Plotinus/A.H. Armstrong,4.52,1984-01-01,eng,Plotinus
26853,The Fate of Reason: German Philosophy from Kant to Fichte,Frederick C. Beiser,4.52,1993-10-15,eng,Frederick C. Beiser
30712,The Total Library: Non-Fiction 1922-1986,Jorge Luis Borges/Suzanne Jill Levine/Esther Allen,4.52,2001-01-18,eng,Jorge Luis Borges
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,1975-07-12,eng,Robert A. Caro
2727,Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,4.51,2006-11-01,eng,Saul Steinberg
6297,The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,4.51,2005-07-01,eng,Hayao Miyazaki
8362,Animal: The Definitive Visual Guide to the World's Wildlife,David Burnie/Don E. Wilson,4.51,2005-09-19,eng,David Burnie
8927,Sherlock Holmes and the Case of the Hound of the Baskervilles (Great Illustrated Classics),Malvina G. Vogel/Arthur Conan Doyle,4.51,2005-01-01,en-US,Malvina G. Vogel
15221,The Lord of the Rings: The Two Towers: Visual Companion,Jude Fisher/Viggo Mortensen,4.51,2002-11-06,eng,Jude Fisher
18812,Dostoevsky: The Stir of Liberation  1860-1865,Joseph Frank,4.51,1988-11-21,eng,Joseph Frank
22424,Transmetropolitan  Vol. 10: One More Time,Warren Ellis/Darick Robertson/Rodney Ramos,4.51,2004-06-01,eng,Warren Ellis
23319,Transcending the Levels of Consciousness: The Stairway to Enlightenment,David R. Hawkins,4.51,2006-06-28,eng,David R. Hawkins
23598,The J.R.R. Tolkien Companion and Guide  Volume 1: Chronology,Christina Scull/Wayne G. Hammond,4.51,2006-11-02,eng,Christina Scull
25869,Shahnameh: The Persian Book of Kings,Abolqasem Ferdowsi/Dick Davis/Azar Nafisi,4.51,2007-03-01,eng,Abolqasem Ferdowsi
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,2004-10-21,eng,J.R.R. Tolkien
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,2002-10-01,en-US,J.R.R. Tolkien
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,2004-11-15,eng,Jude Fisher
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,2006-10-17,eng,Joan Didion
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,2005-05-03,eng,Hiromu Arakawa
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,2019-02-11,eng,Josef Pieper
1417,The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.5,2002-11-07,eng,William Shakespeare
1419,The Complete Works,William Shakespeare,4.5,1991-10-13,eng,William Shakespeare
1461,Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,4.5,1989-01-30,eng,Cynthia W. Shelmerdine
2046,Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,4.5,1995-10-01,eng,Raymond Chandler
2331,The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,2005-06-01,en-US,J.R.R. Tolkien
2731,Advanced Global Illumination,Philip Dutre,4.5,2006-08-30,eng,Philip Dutre
4812,The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993,William Andrewes,4.5,1996-10-01,eng,William Andrewes
4964,Love You Until--,Lisa McCourt/Cyd Moore,4.5,2005-12-03,eng,Lisa McCourt
5898,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,2002-09-16,eng,J.R.R. Tolkien
7353,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Rob Inglis,4.5,2002-02-22,eng,J.R.R. Tolkien
8428,Insects & Spiders,David Burnie,4.5,1999-05-24,eng,David Burnie
11432,Reunion (Redemption  #5),Karen Kingsbury/Gary Smalley,4.5,2004-07-01,en-US,Karen Kingsbury
12240,The Play Soldier,Chet Green,4.5,2011-05-22,eng,Chet Green
13551,From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,4.5,2007-01-09,eng,Kyoko Hikawa
15369,The Lord of the Rings,J.R.R. Tolkien/Brian Sibley/Michael Bakewell/Stephen  Oliver/Ian Holm/Michael Hordern/Robert Stephens/John Le Mesurier/Peter Woodthorpe/Gerard  Murphy/Hugh Dickson/Peter Vaughan/Peter Howell,4.5,2003-10-06,eng,J.R.R. Tolkien
15407,The Lord of the Rings Millennium Edition Boxed Set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1999-10-10,eng,J.R.R. Tolkien
17292,Mission: Where's June? (Disney's Little Einstein),Susan Ring/Kirk Albert Etienne/Kirk Etienne Albert/Michael James Luzzi,4.5,2006-04-05,eng,Susan Ring
18519,The Diary of Virginia Woolf  Volume Five: 1936-1941,Virginia Woolf/Anne Olivier Bell/Andrew McNeillie,4.5,1985-09-30,eng,Virginia Woolf
20323,The Penguin Companion to European Literature,Anthony Thorlby,4.5,1969-05-30,eng,Anthony Thorlby
21248,Lake Orion (Images of America: Michigan),James E. Ingram/Lori Grove,4.5,2006-07-19,eng,James E. Ingram
25685,An Odyssey in Learning and Perception,Eleanor J. Gibson,4.5,1994-02-03,eng,Eleanor J. Gibson
28173,On Vital Reserves,William  James/Stephen Vicchio,4.5,1988-04-01,eng,William  James
32498,John Grisham Value Collection: A Time to Kill  The Firm  The Client,John Grisham/Michael Beck/Blair Brown/D.W. Moffett,4.5,2004-06-01,eng,John Grisham
33557,Richard Matheson's Hell House  Book 2,Ian Edginton/Simon Fraser,4.5,2005-03-15,eng,Ian Edginton
35428,The Star Wars Poster Book,Stephen J. Sansweet/Peter Vilmur,4.5,2005-09-29,eng,Stephen J. Sansweet
36399,Children's Christmas Stories and Poems: In Easy-to-Read Type,Bob Blaisdell/Pat Ronson Stewart,4.5,2011-11-17,eng,Bob Blaisdell
39707,Hell No  We Won't Go! Resisting the Draft During the Vietnam War,Sherry Gershon Gottlieb,4.5,1991-07-01,eng,Sherry Gershon Gottlieb
40259,World Atlas of Great Apes and their Conservation,Julian Caldecott/Lera Miles,4.5,2005-11-01,en-GB,Julian Caldecott
41404,The Savage Wars Of Peace: Soldiers' Voices 1945-1989,Charles Allen,4.5,1990-10-01,eng,Charles Allen
41590,Interviews with John Kenneth Galbraith (Conversations with Public Intellectuals),John Kenneth Galbraith/James Ronald Stanfield/J. Ron Stanfield/Jacqueline Bloom Stanfield,4.5,2004-02-20,eng,John Kenneth Galbraith
42054,The Arden Shakespeare Complete Works,William Shakespeare/Richard Proudfoot/Ann Thompson/David Scott Kastan/Harold Jenkins,4.5,2001-07-05,eng,William Shakespeare
43390,1968: War and Democracy,Eugene J. McCarthy/Christopher Hitchens,4.5,2000-09-23,eng,Eugene J. McCarthy
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,2004-09-01,eng,J.K. Rowling
